BrandID,Brand Name,Updated
169,Big Fish Leisure Sports Development PTE Ltd,FALSE
170,"Plus 2 International, Inc.",FALSE
171,HM Golf Korea,FALSE
172,"Fuso Electric Industrial Co., Ltd",FALSE
173,GolfNCo Co Ltd (E2Golf Co Ltd),FALSE
174,Kenichi Golf,FALSE
175,The Open Co,FALSE
176,Jason Fitting Solution,FALSE
177,Eiger Enterprise Co Ltd,FALSE
178,Foshan Yibang Golf Goods Co Limited,FALSE
179,Hilco-TAG,FALSE
180,GV Golf Korea Co Ltd,FALSE
181,TaylorMade Golf Company,FALSE
182,Redfil SL,FALSE
183,Top Flite Golf,FALSE
184,KMJ,FALSE
185,"Cobra Golf, Inc.",FALSE
186,Point n Putt PTY Ltd,FALSE
187,Milford Golf,FALSE
188,Khan Golf Co Ltd,FALSE
189,Smashfactor Golf,FALSE
190,Fourteen Co Ltd,FALSE
191,Maruman & Co Ltd,FALSE
192,Chassis Golf,FALSE
193,Jason Golf,TRUE
194,Pinhawk Golf,FALSE
195,Hakusa Golf Europe (Golf Club Docteur),FALSE
196,David,TRUE
197,Grind Golf Clubs,FALSE
198,Performance Golf,FALSE
199,Brosnan Golf Australia,FALSE
200,Iomic Inc,FALSE
201,Lovett Golf Company,FALSE
202,Even Golf,FALSE
203,Kasco,TRUE
204,Prestige Golf,FALSE
205,Japana Co Ltd (Golf Planner),FALSE
206,Orlimar Golf,FALSE
207,Boccieri Golf,FALSE
208,Stadium AB,FALSE
209,Feel Golf Company,FALSE
210,HYK Design Co Ltd,FALSE
211,Bobby Jones Golf,FALSE
212,Edison Golf Company,FALSE
213,Studio CGA,FALSE
214,1879 Co. Ltd.,FALSE
215,Erics Golf Lab,FALSE
216,"Circle Creek P/L, Trading as Prosimmon Golf",FALSE
217,BombTech Golf,FALSE
218,Mirai Sports,FALSE
219,Best Tech Co Ltd,FALSE
220,Delta Sport Handelshontor GmbH,FALSE
221,B&J Golf,FALSE
222,Epon Golf Co Ltd,FALSE
223,Hirota Golf Co Ltd,FALSE
224,"Txema, Inc.",FALSE
225,Asahi Golf Co Ltd,FALSE
226,Doctor Golf Co Ltd,FALSE
227,Sandbully,FALSE
228,Monstar and Psycho Golf Co Ltd,FALSE
229,Fairway Club,FALSE
230,Yonex Co Ltd,FALSE
231,AGFA GOLF,FALSE
232,Tokita AC Inc (A M C Co Ltd),FALSE
233,Royal Collection Inc,FALSE
234,Burke Golf LLP,FALSE
235,Miura Golf Inc,FALSE
236,Honma Golf Co Ltd,FALSE
237,ARGOLF,FALSE
238,Weszty Golf,FALSE
239,IZZO Golf,FALSE
240,Haywood Golf,FALSE
241,Williams Racing Golf,FALSE
242,Orka Golf Ltd,FALSE
243,Professional Golf Equipment Pty Ltd,FALSE
244,Caley Ltd,FALSE
245,Kick X Golf,FALSE
246,Ohtex Co Ltd,FALSE
247,Ryobi Limited,FALSE
248,King Par,TRUE
249,Three Luck Co Ltd,FALSE
250,Professional Golf Europe Ltd,FALSE
251,Saga Co Ltd,FALSE
252,Wedge FX,FALSE
253,Works Co Ltd,FALSE
254,Pyramid Golf,FALSE
255,MacGregor Golf Co.,FALSE
256,Prestige Golf (UK) Ltd,FALSE
257,Royal Collection,FALSE
258,U.S. Kids Golf,FALSE
259,Macgregor Golf Japan Ltd,FALSE
260,PRGR Co Ltd (Yokohama Rubber Co Ltd),FALSE
261,Advance Co Ltd,FALSE
262,Howson Sports UK Limited,FALSE
263,"Kolon Industries, Inc.",FALSE
264,J E Net  Co Ltd,FALSE
265,Fujiki,TRUE
266,Indi Golf,FALSE
267,"Pinemeadow Golf Products, Inc. (dba Carnahan Golf)",FALSE
268,Miura Giken Co Ltd,FALSE
269,Tom Wishon Golf Technology,FALSE
270,VLS Golf,FALSE
271,Tsuruya Golf Co Ltd,FALSE
272,Keigekiku Co Ltd,FALSE
273,Lynx Co Ltd,FALSE
274,Scratch Golf,FALSE
275,A Design Golf Inc,FALSE
276,Rife Golf,FALSE
277,Beijing Pengcheng Youzhi Sports Equipment Development Co Ltd,FALSE
278,Sumitomo Rubber Industries Ltd,FALSE
279,O-TA Precision Industry Co Ltd,FALSE
280,Solus Golf,FALSE
281,Warrior Custom Golf,FALSE
282,TTO,TRUE
283,"Xiamen Jasde Sports Equipment Co., Ltd.",FALSE
284,Qookai Co Ltd,FALSE
285,Momentus Sports,FALSE
286,Fuji Kihan Company Limited,FALSE
287,Top-Flite Golf Company,FALSE
288,GND golf,FALSE
289,Formerly JAMA Golf,FALSE
290,Hireko Golf,FALSE
291,Bigme Golf,FALSE
292,Callaway Golf Company,FALSE
293,"Gria Golf, Inc.",FALSE
294,Gracieux Art Design Inc,FALSE
295,"TourShot Golf Co., Inc.",FALSE
296,RXS Design,FALSE
297,Ikasu Golf,FALSE
298,Foreward Golf,FALSE
299,Stun Co Ltd,FALSE
300,Williams,FALSE
301,Gauge Design Golf,FALSE
302,Kyoei Golf Industry Co Ltd,FALSE
303,Razor Golf,FALSE
304,Millicent Golf Equipment,FALSE
305,TDG Co Ltd,FALSE
306,Golf Lab G Select,FALSE
307,Superkit Sporting Goods Co Ltd,FALSE
308,"1 Iron Golf, Inc.",FALSE
309,Millennium Golf Inc,FALSE
310,SSP Ltd,FALSE
311,ACT Co Ltd,FALSE
312,The Golfworks,FALSE
313,"Henry-Griffitts, Inc.",FALSE
314,Ben Hogan Company,FALSE
315,"J. Greed Co., Ltd.",FALSE
316,KZG,FALSE
317,Mizuno,TRUE
318,Greaton Co Ltd,FALSE
319,Hono Golf Enterprise Co Ltd,FALSE
320,"Crosscut Wedge Co., LLC",FALSE
321,Big Shot Golf,FALSE
322,Dagalo Inc,FALSE
323,"SM Global, LLC",FALSE
324,Scott Golf USA LC,FALSE
325,DeLaCruz Golf,FALSE
326,iGen Golf,FALSE
327,Yamagata Window Co Ltd,FALSE
328,Eon Sports Co Ltd,FALSE
329,Carbite Golf,FALSE
330,Club Factory GmbH,FALSE
331,Swing Puzzle,FALSE
332,"Knuth Golf, Inc.",FALSE
333,Logical One Golf,FALSE
334,Bettinardi Golf,FALSE
335,Axis Golf Denmark,FALSE
336,Oxylane,FALSE
337,"DDK, LLC",FALSE
338,MFS Korea Co Ltd,FALSE
339,Pro - One Golf,FALSE
340,Mevaeru Co Ltd,FALSE
341,The Club Nut LLC,FALSE
342,Golf Reve,FALSE
343,TGL,FALSE
344,Wilson Sporting Goods,FALSE
345,Jucie Inc,FALSE
346,Piranha Golf,FALSE
347,Ming Ging Golf Co Ltd,FALSE
348,Benross Golf,FALSE
349,B.I.G. Stealex GmbH,FALSE
350,"Pathfinder Co., CTD",FALSE
351,Golf Partner Co Ltd,FALSE
352,"Swing Science, LLC",FALSE
353,Solinco LLC,FALSE
354,Yoshimura Golf Co Ltd,FALSE
355,JP Golf,FALSE
356,Haraken Co Ltd,FALSE
357,George Spirits,FALSE
358,Vietnam Nason Joint Stock Company,FALSE
359,Marken-Golf,FALSE
360,Specialist Golf Limited,FALSE
361,"Fujimoto Gikoh Co.,Ltd",FALSE
362,Golf Design INTL Co Ltd,FALSE
363,Flynn Golf LLC,FALSE
364,Yardstick Inc,FALSE
365,F2 Golf,FALSE
366,"Eidolon Brands, LLC",FALSE
367,Golf-Do Co Ltd,FALSE
368,Pigeon Golf,FALSE
369,PXG-Parsons Xtreme Golf,FALSE
370,Southern California Design Company,FALSE
371,Iracon GmbH,FALSE
372,Mutant Golf LLC,FALSE
373,Donnay Golf,FALSE
374,Hopkins Golf,FALSE
375,First Company Limited,FALSE
376,Big Fish Golf International Pte Ltd,FALSE
377,kenichi Korea Co Ltd (Kenichi Studio),FALSE
378,Masdagolf Inc,FALSE
379,Golf Premium Co Ltd,FALSE
380,J Golf Co Ltd,FALSE
381,Muziik Co Ltd,FALSE
382,Progen,FALSE
383,G Force Golf,FALSE
384,Elmer Golf Technologies (Pty) Ltd,FALSE
385,Geotech Golf Components Co Ltd,FALSE
386,Kenmotsu Golf Equipment Manufacturing Co,FALSE
387,Mashie Cleek,FALSE
388,Akira Products Co Ltd,FALSE
389,Millennium Golf AS,FALSE
390,Avanti,TRUE
391,DTB Golf,FALSE
392,Worldwide Golf Brands Ltd,FALSE
393,Titleist,TRUE
394,Chiyoda Co Ltd,FALSE
395,Simon Golf Company,FALSE
396,Stix Golf Co.,FALSE
397,Guardian Golf,FALSE
398,"Clubmakers Korea Co., Ltd",FALSE
399,Diamond Tour Golf,FALSE
400,Blue Lotus Co Ltd,FALSE
401,Spalding Sports Worldwide,FALSE
402,Diamond Golf International Ltd,FALSE
403,Betrian Inc,FALSE
404,Alpen Co Ltd,FALSE
405,Traditional Sport Limited,FALSE
406,Lazrus Golf LLC,FALSE
407,Roir Japan Co,FALSE
408,XXIO,FALSE
409,Todd Demsey,FALSE
410,Yes,FALSE
411,Zebra,FALSE
412,Titleist Scotty Cameron,FALSE
413,Sik,FALSE
414,Cure,FALSE
415,Nordberg,FALSE
416,See More,FALSE
417,Kramski,FALSE
418,Sacks Parente,FALSE
419,STX,FALSE
420,Swag,FALSE
421,Volvendum,FALSE
422,Tyson Lamb,FALSE
423,Titleist,FALSE
424,Bloodline,FALSE
425,Bobby Grace,FALSE
426,Brandon Matthew,FALSE
427,Srixon,FALSE
428,Tear Drop,FALSE
429,Embrace Putters,FALSE
430,Vega,FALSE
431,Kirkland,FALSE
432,Kenny Giannini,FALSE
433,Never Compromise,FALSE
434,Artisan,FALSE
435,TP Mills,FALSE
436,Kevin Burns,FALSE
437,Kingston,FALSE
438,Clay Long,FALSE
439,Guerin Rife,FALSE
440,Makefield,FALSE
441,Dean Wilson,FALSE
442,Royalty,FALSE
443,Meridian,FALSE
444,Black Lab Golf,FALSE
445,Toulon Design,FALSE
446,Weston Maughan Golf,FALSE
447,Evnroll,FALSE
448,Brainstorm Golf,FALSE
449,New Legend Golf,FALSE
450,Kronos,FALSE
451,L.A.B. Golf,FALSE
452,LA Golf,FALSE
453,Logan Olson,FALSE
454,Longbow,FALSE
455,Odyssey,FALSE
456,"300 Yards.com, Inc.",FALSE
457,A M C Co Ltd (Tokita AC Inc),FALSE
458,"Accumade, Inc.",FALSE
459,Acropolis Golf,FALSE
460,Adller Japan Inc,FALSE
461,Advanced Golf Technology,FALSE
462,AIBM,FALSE
463,Aichi Steel Co Ltd,FALSE
464,AJ Antonious Co.,FALSE
465,Akia Golf Co,FALSE
466,"Alien Sports, Inc.",FALSE
467,All New Flying Golf,FALSE
468,All Out Golf,FALSE
469,ALTR Golf Inc.,FALSE
470,Amer Sports Japan Inc (Wilson),FALSE
471,Amer Sports UK Ltd,FALSE
472,Amur Golf,FALSE
473,Aoi,TRUE
474,"Apilch Golf, Inc.",FALSE
475,"Armortek Sports, Inc.",FALSE
476,Arrowtech Company LLC,FALSE
477,"Aserta Sports, Inc.",FALSE
478,Ashton Golf Co Ltd,FALSE
479,"Ashton Golf, LLC",FALSE
480,Aspec Co Ltd,FALSE
481,Athlete Mind Co Ltd,FALSE
482,Atop Golf,FALSE
483,"Avatar Golf, Inc.",FALSE
484,Ball Killer Golf,FALSE
485,Bang Golf Japan,FALSE
486,"Bang Golf, Inc.",FALSE
487,Bavaria Golf International,FALSE
488,Beijing FeiYang Sports Development Co Ltd,FALSE
489,Beijing Ns Golf,FALSE
490,Belair Co Ltd,FALSE
491,"Belly Golf, Inc./Hangtime Golf",FALSE
492,Ben Sayers Golf Ltd,FALSE
493,BFG Golf PTE Ltd,FALSE
494,Biam General Titanium Inc.,FALSE
495,Bio-Mechanical Golf Accademy Co Ltd,FALSE
496,Black Diamond Golf,FALSE
497,Black Titanium Golf Co.,FALSE
498,Blade Golf,FALSE
499,Blue Hawk Golf,FALSE
500,Break Ltd,FALSE
501,Brian Symonds Golf Design,FALSE
502,"Bright Wish International (HK) Co., Ltd",FALSE
503,British Golf Components,FALSE
504,Brosnan Golf,FALSE
505,Brute Golf GmbH,FALSE
506,"BRUTE Golf, LLC",FALSE
507,"Brutus Golf, Inc.",FALSE
508,"Byron Butler Golf, Inc.",FALSE
509,Byron Trade Co Ltd,FALSE
510,Caido Golf Inc.,FALSE
511,"Caldwell Golf Co., Inc.",FALSE
512,"Camzestaim Korea Co., Ltd",FALSE
513,Cana Golf,FALSE
514,Ceramix Golf Co. Inc.,FALSE
515,"Chicago Classics Golf, Co.",FALSE
516,Chrisco Golf AS,FALSE
517,Cisco Co Ltd,FALSE
518,Classic Golf UK,FALSE
519,Cles,TRUE
520,Coldfire Golf LLC,FALSE
521,Colven Golf,FALSE
522,Concept Co Ltd,FALSE
523,Consistentee Golf LLC,FALSE
524,Continental Golf/Carolina Custom Golf,FALSE
525,"Cor Leonis Co.,Ltd",FALSE
526,"Cornerstone Golf, Inc.",FALSE
527,"Cosmo Ec Co., Ltd",FALSE
528,Cougar Golf Australia,FALSE
529,Crazy Co Ltd,FALSE
530,Creato Inc,FALSE
531,Cryofire Golf,FALSE
532,CT Golfsport,FALSE
533,"Cubic Balance Golf Technology, Inc.",FALSE
534,Custom Built Golf Clubs,FALSE
535,"DAB Korea Co., Ltd.",FALSE
536,Daiichi Giken Co Ltd,FALSE
537,Daiichi Golf Co Ltd,FALSE
538,Daruot Trading (HK) Co Ltd,FALSE
539,DCG Global Solutions Ltd,FALSE
540,Dean Ota Enterprises,FALSE
541,Delta Golf Co. (UK) Ltd.,FALSE
542,Design Tuning,FALSE
543,Designer Golf Limited,FALSE
544,Diabang Japan,FALSE
545,"Dimension Z Golf, Inc.",FALSE
546,"Doi Golf, Inc.",FALSE
547,Dono Sports ,TRUE
548,Dormy Golf,FALSE
549,Dream Golf Service,FALSE
550,DTM Sports Co Ltd,FALSE
551,Dunlop Slazenger Equipment,FALSE
552,Dunlop Sports Co Ltd (SRI Sports Limited),FALSE
553,Dunlop Sports Group Americas,FALSE
554,Dyna Golf Co Ltd,FALSE
555,"Dynacraft Golf Products, Inc.",FALSE
556,Dynacraft International,FALSE
557,Dynamic Duo Co Ltd,FALSE
558,E.X Golf,FALSE
559,Ebalon/XM Works,FALSE
560,Elite Sports Brands Ltd.,FALSE
561,ENA,TRUE
562,"Ena Golf Co., Ltd",FALSE
563,Endeavor Co Ltd,FALSE
564,Endo Manufacturing Co Ltd,FALSE
565,eSports Co Ltd,FALSE
566,Estivant Golf Co Ltd,FALSE
567,ET Japan Co Ltd,FALSE
568,Etimo Co Ltd,FALSE
569,Euro Sports Inc,FALSE
570,Evisu Japan Co. Ltd.,FALSE
571,Excedo Golf/Sonartec,FALSE
572,Exe,TRUE
573,Fanatik Golf,FALSE
574,Farrar Golf Industries,FALSE
575,Fazer Japan Inc,FALSE
576,Fine Edge Golf Equipment,FALSE
577,Fister Golf Company,FALSE
578,Fnc Kolon,TRUE
579,"Focus Golf Systems, Inc.",FALSE
580,Foresta Co Ltd,FALSE
581,Formerly:Takarazuka Golf Shop,FALSE
582,From J,FALSE
583,Fujimi,FALSE
584,Fujix Co Ltd,FALSE
585,Fukuoka Kankokaihatsu Co Ltd,FALSE
586,Fukusui Golf Kyoshitsu Co Ltd,FALSE
587,Fukuyama Golf,FALSE
588,"G.P.S. Co., Ltd.",FALSE
589,Geek Golf,FALSE
590,Giant Golf Co.,FALSE
591,Giga,TRUE
592,"GigaGolf, Inc.",FALSE
593,Gilligan's Custom Golf,FALSE
594,"Globeride, Inc.",FALSE
595,GMU,FALSE
596,GMU Kaihatsu Inc,FALSE
597,Golden Ratio,FALSE
598,Golden Vision Consultants Limited,FALSE
599,Golf Buhin Co Ltd,FALSE
600,Golf Club Koshin,FALSE
601,Golf Design Co Ltd,FALSE
602,Golf Digest Sha Co Ltd,FALSE
603,"Golf Korea Co., Ltd.",FALSE
604,Golf Planner Co Ltd,FALSE
605,Golf Studio Co Ltd,FALSE
606,"Golf System Co., LTD",FALSE
607,Golf System Works Co Ltd,FALSE
608,GolfGear International,FALSE
609,Golfhands,FALSE
610,GolfNCo Co Ltd (E2 Golf),FALSE
611,Golfstore Group AB,FALSE
612,Gosen Co Ltd,FALSE
613,"Grand Golf Company, LLC",FALSE
614,Gravity Co Ltd,FALSE
615,Green Grass Golf Corp.,TRUE
616,Green Salon I,FALSE
617,Greenclub,FALSE
618,GTS Golf USA,TRUE
619,Gyro Sports Inc,FALSE
620,Haimeru Japan Co Ltd,FALSE
621,Hal Sports Production Co. Ltd.,FALSE
622,Hamaguchi Golf,FALSE
623,Hangtime Golf,FALSE
624,Hathaway Golf,FALSE
625,He Weng Golf,FALSE
626,"HEAD USA, Inc.",FALSE
627,"Heavy Putter, LLC",FALSE
628,Herald Golf,FALSE
629,Hero Co Ltd,FALSE
630,HiPPO Golf,FALSE
631,Hippo Golf Co.,FALSE
632,Hirama Golf Service Inc,FALSE
633,Hog Golf/Dogleg Right,TRUE
634,Hokus hin Trading Co.,FALSE
635,Hollywood Golf Studio (See US Tour),FALSE
636,"Hono Golf Enterprise Co., Ltd.",FALSE
637,Honshin Marketing Services,FALSE
638,Hopeful Co Ltd,FALSE
639,HorsepowerGolf.com,FALSE
640,House of Forged,FALSE
641,Hybrid Sports Group LLC,FALSE
642,I N C Yamamoto Pro Golf Shop,FALSE
643,Iguana Pro Golf,FALSE
644,IIRUX Co Ltd,FALSE
645,Ikeda Co Ltd,FALSE
646,Imagine Golf Tech,FALSE
647,Impact Golf Technologies,FALSE
648,"Infiniti Golf, Inc.",FALSE
649,"Inflite Golf, LLC",FALSE
650,"Innovex Golf, Inc.",FALSE
651,International Musashi Golf Co Ltd,FALSE
652,Intersport International,TRUE
653,IQ Venture Ag,FALSE
654,ISP,TRUE
655,"Ivy Products, LLC",FALSE
656,Iwataya,TRUE
657,"J. Osawa Group Co., Ltd",FALSE
658,J.E Net Service Co Ltd,FALSE
659,Japan Pro Dracom Association,FALSE
660,Jarog Master Blaster,FALSE
661,Jaslar Golf LLC,FALSE
662,"Jazz Golf Equipment, Inc.",FALSE
663,Jeffmont Ltd.,FALSE
664,Jigen Ltd,FALSE
665,John Elmer Golf (Former Izulu Golf and Halcyblox (Pty) Ltd),FALSE
666,John Letters of Scotland Ltd.,FALSE
667,Johsho Golf Japan Co Ltd,FALSE
668,Joy Many Co Ltd,FALSE
669,Joy Sports Co Ltd,FALSE
670,"JQC Golf, Inc.",FALSE
671,"Kamui Works U.S.A., Inc.",FALSE
672,Kane Golf Products,FALSE
673,Karstadt Warenhaus GmbH,FALSE
674,Kawabe Kogyo Co Ltd,FALSE
675,Kawana Birdie Golf Co Ltd,FALSE
676,KCC Co Ltd,FALSE
